Vertex	Adjacent vertexes
438356074	1845059098
1500185709	438356074
1592443303	1500185709
473137667	1592443303
473137642	473137667
3849332682	473137642
1500185347	3849332682
473137643	1500185347
473137644	473137643
1500184458	473137644
473137627	1500184458
1592443000	473137627
473137626	1592443000
3401236547	473137626
1631097930	3401236547
473137625	1631097930
3399718060	473137625
473137624	3399718060
473137623	473137624
1631097907	473137623
473137622	1631097907
1631097911	473137622
6669143709	1631097911
473137621	6669143709
6516726963	473137621
473137620	6516726963
473137619	473137620
6669143707	473137619
413568753	6669143707
3925892607	413568753
413568754	3925892607
413568755	413568754
413568756	413568755
413568757	413568756
413568758	413568757
1210891431	413568758
413568744	1210891431
2046596564	413568744
413568743	2046596564
4231281357	413568743
413568742	4231281357
413568740	413568742
2045030936	413568740
4079520307	2045030936
220961887	4079520307
499995006	220961887
220961886	499995006
4079520316	220961886
220961884	4079520316
220961883	220961884
2046596566	220961883
427524027	2046596566
4275907989	427524027
2045030974	4275907989
220961882	2045030974
499994990	220961882
2046596602	499994990
499994944	2046596602
3054317144	499994944
2045030987	3054317144
4147389737	2045030987
499994958	4147389737
4080860994	499994958
220961878	4080860994
499994954	220961878
220961875	499994954
220961873	220961875
220961871	220961873
220961870	220961871
220961868	220961870
669694185	220961868
220961866	669694185
2234665757	220961866
220961865	2234665757
2234665759	220961865
669694178	2234665759
220961864	669694178
220961863	220961864
669694166	220961863
220961861	669694166
220961859	220961861
2046596637	220961859
628585854	2046596637
499984718	628585854
2045030998	499984718
220961856	2045030998
220961855	220961856
4273749236	220961855
660962002	4273749236
660962007	660962002
499984714	660962007
3227972416	499984714
2045030858	3227972416
220961854	2045030858
2046596493	220961854
4078419719	2046596493
4252129620	4078419719
499984691	4252129620
660960932	499984691
220961850	660960932
220961849	220961850
499984667	220961849
2521820770	499984667
220961848	2521820770
2046596609	220961848
499984674	2046596609
2045030991	499984674
220961847	2045030991
1294048117	220961847
616075526	1294048117
1294048158	616075526
220961846	1294048158
220961845	220961846
220961844	220961845
2521820799	220961844
220961843	2521820799
4315330374	220961843
4078134064	4315330374
2046596524	4078134064
3227972418	2046596524
4089907987	3227972418
2045030909	4089907987
499984641	2045030909
220961842	499984641
220961840	220961842
4000140623	220961840
220961839	4000140623
4089918897	220961839
632374888	4089918897
220961838	632374888
499984615	220961838
1577158829	499984615
864537069	1577158829
220961837	864537069
6026847500	220961837
6953743171	6026847500
3698343408	6953743171
499984612	3698343408
411237812	499984612
864537088	411237812
1618595680	864537088
2046596517	1618595680
880648268	2046596517
931732937	880648268
914531164	931732937
917018819	914531164
853404453	917018819
220961834	853404453
631754571	220961834
2046596648	631754571
864537011	2046596648
220748857	864537011
864537033	220748857
421262979	864537033
1008256326	421262979
220748854	1008256326
1661801344	220748854
2046596640	1661801344
4315326802	2046596640
220748852	4315326802
850626021	220748852
3689472371	850626021
850626121	3689472371
600327642	850626121
241893731	600327642
421262970	241893731
176176298	421262970
241893697	176176298
415534053	241893697
415534056	415534053
176176301	415534056
176176302	176176301
176176303	176176302
967976201	176176303
915513972	967976201
241893653	915513972
2046596668	241893653
3685366385	2046596668
3708911684	3685366385
4301536713	3708911684
3708911685	4301536713
2045031021	3708911685
1448705448	2045031021
176176307	1448705448
176176308	176176307
4347321646	176176308
850625975	4347321646
176176310	850625975
852870330	176176310
3698302403	852870330
849602518	3698302403
2046596630	849602518
852870254	2046596630
412050736	852870254
850625992	412050736
2045030995	850625992
176176312	2045030995
3230963297	176176312
412050501	3230963297
858012977	412050501
212650766	858012977
858012972	212650766
176176315	858012972
931406773	176176315
931337950	931406773
2046596486	931337950
598408227	2046596486
212652884	598408227
598408229	212652884
2045030830	598408229
931352913	2045030830
931352902	931352913
1748425972	931352902
176176319	1748425972
2453897410	176176319
176176320	2453897410
858018883	176176320
410918930	858018883
931358580	410918930
638207818	931358580
839681728	638207818
931380617	839681728
2046596676	931380617
3689509141	2046596676
864514839	3689509141
176176323	864514839
864514732	176176323
638205794	864514732
2045031035	638205794
931490884	2045031035
931487964	931490884
931481585	931487964
931481594	931481585
2046596659	931481594
3700983689	2046596659
866626847	3700983689
230855175	866626847
662749081	230855175
1802576582	662749081
931481572	1802576582
1802576581	931481572
1614177506	1802576581
1802576573	1614177506
212644164	1802576573
1615189983	212644164
2295385016	1615189983
2295385015	2295385016
293107245	2295385015
956003994	293107245
2046596649	956003994
1615189995	2046596649
1615189994	1615189995
5159730300	1615189994
1614178780	5159730300
807615525	1614178780
176195122	807615525
3672420688	176195122
3672420686	3672420688
176195123	3672420686
807615491	176195123
4937884775	807615491
807615533	4937884775
1614180964	807615533
2084822638	1614180964
225658112	2084822638
866626707	225658112
742221434	866626707
1278990849	742221434
1764090624	1278990849
747702500	1764090624
1145529143	747702500
742221451	1145529143
1145529161	742221451
1990659740	1145529161
1991814287	1990659740
1615228071	1991814287
747702513	1615228071
866626939	747702513
225658109	866626939
866626598	225658109
2307214095	866626598
1615227523	2307214095
866626944	1615227523
225604300	866626944
866626622	225604300
2307214105	866626622
1615248064	2307214105
212609456	1615248064
212609457	212609456
1387213376	212609457
1387213382	1387213376
1387234840	1387213382
1387213385	1387234840
1387234846	1387213385
1387234850	1387234846,4355578110
1387234851	1387234850,175048165
4355578117	1387234851
175048162	4355578117
1030347390	175048162
1387234852	1030347390,1387234854
1017887591	1387234852
4355578113	1017887591
497541955	497541957
497541953	497541955
471440976	497541953
471440980	471440976
3782951790	471440980
2894795466	3782951790
471440982	2894795466
3782951794	471440982
192290392	3782951794
3267387784	192290392
3782951811	3267387784
3720688068	3782951811
3720688063	3720688068
3782952075	3720688063
192290391	3782952075
2889245706	192290391
3337931262	2889245706
471440941	3337931262
243796232	471440941
471433957	243796232
243796231	471433957
243796230	243796231
2408074646	243796230
243796229	2408074646
2408074647	243796229
3337956874	2408074647
243796228	3337956874
243796233	243796228
2443991664	243796233
2900563011	2443991664
3337956877	2900563011
243796227	3337956877
2853495291	243796227
2853495292	2853495291
2853495293	2853495292
2608181482	2853495293
243796226	2608181482
2853495294	243796226
2853495295	2853495294
2608181483	2853495295
3337968576	2608181483
2608298098	3337968576
2608257081	2608298098
243796225	2608257081
2608298096	243796225
3337968575	2608298096
3721968480	3337968575
2608298092	3721968480
2608306824	2608298092
243796245	2608306824
243796223	243796245
243796222	243796223
1362587240	243796222
243796221	1362587240
2608499945	243796221
243796220	2608499945
243796371	243796220
3337980887	243796371
243796219	3337980887
243796218	243796219
3164330143	243796218
3337980886	3164330143
2874344600	3337980886
243796189	2874344600
1362587213	243796189
3266906071	1362587213
1362575766	3266906071
3266906067	1362575766
243796175	3266906067
1102902718	243796175
243796188	1102902718
297003622	243796188
243796187	297003622
3637086743	243796187
3637086744	3637086743
243796186	3637086744
3637086745	243796186
243796185	3637086745
2370597789	243796185
938284043	2370597789
412747181	938284043
536496878	412747181
4353588538	536496878
175394255	4353588538
2370597771	175394255
536496965	2370597771
243796174	536496965
1005022141	243796174
4353588514	1005022141
1008219966	4353588514
4538141798	1008219966
2875300111	4538141798
175394257	2875300111
3637086758	175394257
459485884	3637086758
2639651868	459485884
