num,id,x,y,is_inf
-1,4353602429,60.6261998,56.8249331,True
0,6013359561,60.6272257,56.8298035,False
1,175309893,60.7116854,56.8216891,False
2,504313746,60.7939468,56.7802944,False
3,2330270280,60.6265497,56.8896315,False
4,4588805625,60.6143387,56.8244145,False
5,910902915,60.4215243,56.773404,False
6,6034004246,60.6236148,56.8640108,False
7,1599076820,60.5914637,56.9072142,False
8,616075560,60.6755751,56.7882532,False
9,623442553,60.786572,56.7149145,False
10,241938563,60.4921207,56.8864736,False
11,412722813,60.5787158,56.8907124,False
12,987589179,60.7356029,56.8713168,False
13,802052861,60.6117665,56.8390635,False
14,638906382,60.8041195,56.9159999,False
15,4676399236,60.5668966,56.7433834,False
16,413940561,60.5093941,56.8033166,False
17,435333859,60.6891883,56.8787786,False
18,2371584161,60.6374116,56.8829549,False
19,1848859975,60.5154817,56.7162664,False
20,463190930,60.554637,56.8712912,False
21,280299015,60.7632404,56.8978689,False
22,768975956,60.6150137,56.8476818,False
23,647048772,60.7943498,56.9018332,False
24,2873847991,60.5909782,56.895995,False
25,6726017838,60.8362757,56.866588,False
26,2371845998,60.6312277,56.8902863,False
27,1315858193,60.6441566,56.8854008,False
28,1264733772,60.6736571,56.8791631,False
29,623411878,60.7243571,56.7293665,False
30,456716351,60.7150701,56.8093338,False
31,3266906067,60.604043,56.8631215,False
32,5133028960,60.6561681,56.8375354,False
33,2520629244,60.6668087,56.8701491,False
34,634092280,60.8809382,56.7811044,False
35,1102902718,60.6055374,56.8629083,False
36,634092297,60.8804577,56.7812844,False
37,1848859955,60.5145653,56.7119537,False
38,638906409,60.8045925,56.9238082,False
39,220656163,60.595967,56.8239465,False
40,4355063740,60.6231615,56.8976327,False
41,992254311,60.5298403,56.8673724,False
42,3733978207,60.5681708,56.7454846,False
43,2796927931,60.5151716,56.8124572,False
44,241919835,60.5480094,56.8601624,False
45,473137634,60.708929,56.7496138,False
46,946589261,60.8147459,56.7622352,False
47,599908640,60.6233059,56.8402928,False
48,6351765992,60.6522516,56.8328292,False
49,3753684423,60.6603189,56.8653184,False
