Vertex	Closer than 10 kilometers
412043630	4347321633,192073549
430343797	4347321633,175060062,1412634107,192073549
6600449739	175060062,1412634107,192073549,4353588566
2046596650	4347321633,175060062,1412634107,192073549,4353588566
181287411	175060062,1412634107,4353588566
1954428005	4347321633,175060062,1412634107,192073549,4353588566
4621749892	4347321633,175060062,1412634107,192073549,4353588566
1441900232	4347321633,175060062,1412634107,192073549,4353588566
421262966	4347321633,175060062,1412634107,192073549
776534915	4347321633,175060062,1412634107,192073549,4353588566
1616498492	4347321633,175060062,1412634107,192073549,4353588566
473137648	4347321633
314567421	4347321633,175060062,1412634107,192073549
4161689715	4347321633,175060062,1412634107,192073549
831611222	4347321633,175060062,1412634107,192073549,4353588566
423742432	4347321633,175060062,1412634107,192073549,4353588566
471431597	4347321633,175060062,1412634107,192073549,4353588566
1426475801	4347321633,175060062,1412634107,192073549,4353588566
5160697449	4347321633,175060062,192073549
5899140072	4347321633,175060062,192073549
490520631	4347321633,175060062,1412634107,192073549
4685491816	4347321633,175060062,1412634107,192073549
4043487389	4347321633,175060062,1412634107,192073549,4353588566
