Vertex	Adjacent vertexes
482310232	482310236
482310256	482310232
1304959549	482310256
482310217	1304959549
482310214	482310217
5613755365	482310214
5613755364	5613755365
5613755363	5613755364
1304959629	5613755363
482310019	1304959629
482310210	482310019
5613587499	482310210
220833723	5613587499
482310056	220833723
220822973	482310056
4467435417	220822973
5613755873	4467435417
3812355351	5613755873
220822970	3812355351
915499589	220822970
6357556652	915499589
220822969	6357556652
412537658	220822969
3906856197	412537658
915499591	3906856197
175332970	915499591
175332969	175332970
930213150	175332969
175332967	930213150
469180553	175332967
175332966	469180553
5199306979	175332966
919393067	5199306979
175332963	919393067
919392787	175332963
175332962	919392787
175332961	175332962
175332960	175332961
528072520	175332960
3736002937	528072520
2338830182	3736002937
175332959	2338830182
175336167	175332959,824349366
2338830180	175336167
734510255	2338830180
6299446471	734510255
3708872828	6299446471
175336166	3708872828
3084153622	175336166
3736889249	3084153622
2796915358	3736889249
175336165	2796915358
5679325034	175336165
175336164	5679325034
175336163	175336164
482313203	175336163
5290924719	415274892
432779580	5290924719
432779578	432779580
3889575869	432779578
412539987	3889575869
175347190	412539987
175347189	175347190
4134012915	175347189
4134012916	4134012915
513094235	4134012916
4134012913	513094235
175347187	4134012913
425242910	175347187
4134012917	425242910
425242912	4134012917
1775823600	425242912
5562861538	1775823600
3446721040	5562861538
1775823599	3446721040
5562861534	1775823599
618796479	5562861534
3446721039	618796479
7332967137	3446721039
618798251	7332967137
708047130	618798251
618802461	708047130
192083126	618802461
708047215	192083126
618802481	708047215
412356843	618802481
619073150	412356843
1615734856	619073150
618799453	1615734856
2210410046	618799453
618799456	2210410046
6935652489	618799456
1649890763	6935652489
708046989	1649890763
1649890765	708046989
2210410028	1649890765
2324428076	2210410028
2350454748	2324428076
2350454804	2350454748
2324428083	2350454804
176602996	2324428083
4347088679	176602996
2324428082	4347088679
619073145	2324428082
2210410029	619073145
4886929679	2210410029
4357182825	4886929679
568026278	4357182825
1615735059	568026278
2210410044	1615735059
712328087	2210410044
176533535	712328087
4550954198	176533535
638894567	4550954198
638894576	638894567
4281444134	638894576
643270796	4281444134
3446691346	643270796
669764107	3446691346
835036562	669764107
176533533	835036562
943760894	176533533
1615263681	943760894
3250362263	1615263681
507091522	3250362263
943787110	507091522
1954427944	943787110
4347134438	1954427944
192237698	4347134438
176533532	192237698
3916035203	176533532
712328307	3916035203
3915870759	712328307
3915870758	3915870759
3498419469	3915870758
2805814393	3498419469
5333587802	2805814393
192237694	5333587802
1615741151	192237694
4973961469	1615741151
4185488171	4973961469
5054411354	4185488171
5052829957	5054411354
1615741211	5052829957
5052829956	1615741211
176537727	5052829956
541395635	176537727
175036077	541395635
175031576	175036077
4427385204	175031576
4427385203	4427385204
4428552172	4427385203
5314395345	4428552172
943760905	5314395345
175031574	943760905
943761136	175031574
1007520239	943761136
2210410058	1007520239
803967419	2210410058
175031572	803967419
568024645	175031572
6953784616	568024645
1354239570	6953784616
457801800	1354239570
4043484641	457801800
4043484640	4043484641
4043484639	4043484640
4107340719	4043484639
798145561	4107340719
175031569	798145561
175031568	175031569
457801803	175031568
474662006	457801803
798686925	474662006
175031565	798686925
175031563	175031565
175031562	175031563
175031561	175031562
708912262	175031561
175031560	708912262,175036060
421328831	175031560
175058353	421328831
1636170037	175058353
175058352	1636170037
1984042353	175058352
4290527737	1984042353
4107295675	4290527737
645226647	4107295675
1154203878	645226647
192073543	1154203878
845506368	192073543
192105137	845506368
175058348	192105137
175058340	175058348
487767549	175058340
796777460	487767549
175058339	796777460
796777472	175058339
492227867	796777472
175058338	492227867
6735433447	175058338
3236233274	6735433447
508054662	3236233274
175058337	508054662
6497021009	175058337
6497021010	6497021009
6731904252	6497021010
490516766	6731904252
6731904258	490516766
6118934543	6731904258
6497021030	6118934543
6497021031	6497021030
6731904260	6497021031
6731904264	6731904260
175432817	6731904264
417803532	175432817
490517261	417803532
6735433550	490517261
175432816	6735433550
175432815	175432816
175336177	175432815
4434057085	175336177
612489337	4434057085
175336176	612489337
175336175	175336176
175336174	175336175
175336173	175336174
175336172	175336173
175336171	175336172
175336170	175336171
175336169	175336170
175336168	175336169
412690427	175336168
810974588	412690427
5995135470	810974588
6299446472	5995135470
824349366	6299446472
4210737326	1616411438
1196834794	4210737326
1012245356	1196834794
5771441784	1012245356
2274740863	5771441784
475880379	2274740863
1336665811	475880379
2274740896	1336665811
1336666079	2274740896
2274740906	1336666079
475879727	2274740906
1615716305	475879727
475879725	1615716305
1651728277	475879725
475879728	1651728277
1651728409	475879728
931681116	1651728409
475879724	931681116
521873697	475879724
192072558	521873697
1154203860	192072558
521873741	1154203860
192073541	521873741
3674760551	192073541
3669735178	3674760551
475877932	3669735178
3674760548	475877932
3639800845	3674760548
3674760547	3639800845
3674518558	3674760547
798730904	3674518558
175060062	798730904
1154203779	175060062
175060060	1154203779
1984042354	175060060
1636147137	1984042354
175060058	1636147137
1636147157	175060058
175060057	1636147157
175036060	175060057
