,Cluster ¹,nodes
1 clusters,info
,1,"0,11,17,2,9,8,4,6,1,3,14,5,10,13,16,18,15,7,12,19"
2 clusters,info
,1,"0,11,17,2,9,8,4,6"
,2,"1,3,14,5,10,13,16,18,15,7,12,19"
3 clusters,info
,1,"0,11,17,2,9,8,4,6"
,2,"1,3,14,5,10,13,16,18,15,7"
,3,"12,19"
4 clusters,info
,1,"0,11,17"
,2,"1,3,14,5,10,13,16,18,15,7"
,3,"2,9,8,4,6"
,4,"12,19"
5 clusters,info
,1,"0,11,17"
,2,"1,3,14,5,10,13,16,18,15"
,3,"2,9,8,4,6"
,4,7
,5,"12,19"
6 clusters,info
,1,"0,11,17"
,2,"1,3,14,5"
,3,"2,9,8,4,6"
,4,7
,5,"10,13,16,18,15"
,6,"12,19"
7 clusters,info
,1,0
,2,"1,3,14,5"
,3,"2,9,8,4,6"
,4,7
,5,"10,13,16,18,15"
,6,"11,17"
,7,"12,19"
8 clusters,info
,1,0
,2,"1,3,14,5"
,3,"2,9,8,4,6"
,4,7
,5,10
,6,"11,17"
,7,"12,19"
,8,"13,16,18,15"
9 clusters,info
,1,0
,2,1
,3,"2,9,8,4,6"
,4,"3,14,5"
,5,7
,6,10
,7,"11,17"
,8,"12,19"
,9,"13,16,18,15"
10 clusters,info
,1,0
,2,1
,3,"2,9,8,4,6"
,4,"3,14,5"
,5,7
,6,10
,7,11
,8,"12,19"
,9,"13,16,18,15"
,10,17
11 clusters,info
,1,0
,2,1
,3,"2,9,8"
,4,"3,14,5"
,5,"4,6"
,6,7
,7,10
,8,11
,9,"12,19"
,10,"13,16,18,15"
,11,17
12 clusters,info
,1,0
,2,1
,3,"2,9,8"
,4,"3,14,5"
,5,"4,6"
,6,7
,7,10
,8,11
,9,12
,10,"13,16,18,15"
,11,17
,12,19
13 clusters,info
,1,0
,2,1
,3,"2,9,8"
,4,"3,14,5"
,5,"4,6"
,6,7
,7,10
,8,11
,9,12
,10,"13,16,18"
,11,15
,12,17
,13,19
14 clusters,info
,1,0
,2,1
,3,"2,9,8"
,4,"3,14,5"
,5,"4,6"
,6,7
,7,10
,8,11
,9,12
,10,13
,11,15
,12,"16,18"
,13,17
,14,19
15 clusters,info
,1,0
,2,1
,3,"2,9,8"
,4,"3,14"
,5,"4,6"
,6,5
,7,7
,8,10
,9,11
,10,12
,11,13
,12,15
,13,"16,18"
,14,17
,15,19
16 clusters,info
,1,0
,2,1
,3,"2,9,8"
,4,"3,14"
,5,"4,6"
,6,5
,7,7
,8,10
,9,11
,10,12
,11,13
,12,15
,13,16
,14,17
,15,18
,16,19
17 clusters,info
,1,0
,2,1
,3,"2,9"
,4,"3,14"
,5,"4,6"
,6,5
,7,7
,8,8
,9,10
,10,11
,11,12
,12,13
,13,15
,14,16
,15,17
,16,18
,17,19
18 clusters,info
,1,0
,2,1
,3,"2,9"
,4,"3,14"
,5,4
,6,5
,7,6
,8,7
,9,8
,10,10
,11,11
,12,12
,13,13
,14,15
,15,16
,16,17
,17,18
,18,19
19 clusters,info
,1,0
,2,1
,3,2
,4,"3,14"
,5,4
,6,5
,7,6
,8,7
,9,8
,10,9
,11,10
,12,11
,13,12
,14,13
,15,15
,16,16
,17,17
,18,18
,19,19
