Vertex	Nearest
220403550	17235.844395178614,1628030509
2608141414	5035.551434387909,4346949771
192138568	1922.2458836157962,411827206
417795361	21898.04039517859,1628030509
436363915	13274.82166634551,456682436
634092464	16911.53139517861,1628030509
412253177	21086.406666345523,456682436
241895755	7376.486757711182,411827206
6652797588	11391.447997234485,456682436
414133402	11502.023666345507,456682436
2372852082	7821.079434387911,4346949771
241937595	10111.445434387908,4346949771
411272612	4608.830757711183,411827206
499984673	4775.332395178612,1628030509
3241329879	9078.483997234482,456682436
1387132506	8400.026997234487,456682436
3240486708	19314.470395178607,1628030509
646909431	5725.045881167131,411827206
314570108	3627.346559655484,220628145
319524908	3264.0925114976017,220628145
638906333	15653.30666634551,456682436
3909482793	15916.2944343879,4346949771
1241599780	2211.26643438791,4346949771
231270651	4746.1354343879075,4346949771
425231876	3236.6654343879095,4346949771
220403524	19315.432395178625,1628030509
647048605	12524.450666345507,456682436
419772441	6545.140434387909,4346949771
419237269	2438.337883615796,411827206
625187438	17656.507395178607,1628030509
