Vertex	Adjacent vertexes
426535939	625388815
411722001	176169916
417795365	1090582118
456268137	2876133238
412742434	412742435
3057036592	1794906298
1005022141	4353588514
1730295891	536496850
2999211868	2999221259
220403599	2915842676
410053826	681205544
895841239	410053826
2116210465	656499268
412742425	412742426
6711606799	6711606795
3224872788	220435763
220435752	220435750
1726852332	2046596663
192144072	192144070
220435689	2897384180
2316632909	1008892528
490596679	175054405
412742386	412742387
4887805655	220435744
825443116	4347298032
412742433	412742434
1336838056	1336838051
882696090	438355995
3881661579	463067243
1236679313	868713895
319895221	319895222
635759370	459146413
3881764769	2889696251
625195032	625195029
894540381	176188570
3587883650	1239577923
1367658079	1367658078
6736457109	807615544
2426784007	2426784002
4814847946	220403656
2206889238	6635610360
412742412	412742413
825443859	7161678343
521873697	192072558
1492145709	417796272
175031583	412496987
176169915	411722001
1410306026	4353511485
410402587	5935175072
220403578	220403576
176144588	806275554
662932249	413451787
1078987600	3498419472
220409198	5800009938
471791463	2430081136
934706403	3639208477
6178139900	175075308
571093400	3951283092
1763308461	220403489
2351239232	1278990843
633155641	3689739256
3755440449	6552752164
2876133238	220435758
502835702	1008892553
5646928765	477653901
611054261	696300133
1827666115	798730734
599906484	858018873
412742397	412742398
5821527467	426535944
852870330	3698302403
241928720	241937981
866626763	293107382
220423198	982638666
951482886	241925122
176176302	176176303
3194360849	1349141007
412742385	412742386
176195118	3754575452
751539122	319529728
2403589170	5594612069
2884663915	176301558
1210715113	761892203
3640773647	241927058
1492145718	1492145717
2425474474	2425474473
5524593565	5524593566
854150260	931413589
417795369	417795370
1419923444	839065962
4043484687	474644253
241928084	241928083
419751367	3716995644
220403576	220403574
280313335	280313336
3881818727	1360638856
3633222291	3630743528
1272931716	1387829331
412742381	412742382
192291052	241927052
2271565782	2125862085
1397311149	796649968
417796302	417796300
175394255	2370597771
2471636809	807615524
3881652790	3859518186
1795820274	280313332
538837359	4043484684
625195004	625195007
6824854868	725238550
413975951	623912281
2788642078	4362416596
1030534209	1648981583
3866834758	1763308461
1030478052	175075316
175054399	175054400
2638520062	319895041
410208509	3194360839
3708911684	4301536713
175054397	4401007284
241927066	1030478178
417796254	417796252
223291355	708414897
3241634906	1150452006
212638155	2316632909
2473145488	3866834758
2403589169	419237276
417796259	417796256
2472895977	243796260
3729072125	4035906190
175394232	1870633385
6953804555	419751365
175131771	2374646872
1958294862	220435739
1492145716	417796284
3881867636	319895270
613597920	942272996
220435685	2897384197
3194360836	531236275
849602499	852870285
600327642	241893731
220403604	241865131
175075318	3755440456
220403601	220403599
1614373201	192144066
591780196	3633972761
3881599095	442619750
181291258	600757389
3881853639	319895273
1781280033	3289778015
645034776	3639208467
6736437450	410056357
796777473	175060069
7161678351	1918379378
948030162	413975937
415534053	415534056
4347298032	4347298033
4346903982	598701750
1727825688	220435699
456717344	2473129856
708415063	175040709
3547038518	175131771
4346992920	944915174
176176301	176176302
220403612	3881667894
417796280	571093400
1008892553	3574768901
1385727878	3206356339
635759363	5636956140
1471889846	4032332855
1612096836	3866834760
413932167	514088204
2954113400	868714523
3224872793	611055456
413537595	929836273
2471616107	1404303352
4297959151	895841075
1005027649	1014889856
611049702	611054060
3866834757	220403490
411283089	411283088
176169921	176169922
225604300	866626944
412742420	412742421
1606371351	623462070
2351239239	2314631335
2314631336	2314631338
3224872785	3194360831
2351239271	740705369
931384705	586881925
6734523522	419751843
5951895224	416574217
415534056	176176301
747722336	1768486810
1402573186	2426855477
1447132466	686158310
220403480	3881591543
410060112	1446825391
241865131	220403602
1325286655	941269758
412742442	241928095
423742432	934706587
490518752	3806394810
2915812431	991300025
825444071	7161678348
1030347394	1387234856
879368394	411829200
280313327	1003331329
2469929176	2469929177
3639641978	740705348
2426904517	654004571
3206356340	416574216
748779902	175054406
2876658276	427948328
625195051	625201698
1471889813	1471889853
625178596	1496089900
956784985	212641550
4412931057	319895225
176195119	176195118
2442167543	2469929170
175232413	175232411
220435704	1727825683
192144063	3633222291
412742388	573433503
3278189900	175394246
175060070	5006791668
412742409	412742411
413475663	3881818727
1188750678	176169917
625178577	623044333
852870299	920080575
796777444	412519572
1336820506	1706342374
1336838055	1336838056
718887471	220659131
1362575233	4346992920
1387829331	175054399
938004272	947950735
1739259812	220403608
3881651704	456717152
220403589	220403587
4271034191	417803532
412742389	412742390
3881591543	2647811755
3578912157	3578912148
858012982	3241634906
946589304	319895269
175075316	3755440449
2639651868	3309953085
2096688411	2439051143
3881655061	220403551
1387234854	1387234852
1471889823	4032332850
1008892580	3574777412
3103280944	1987991645
1030477838	3640773645
2096688418	3629637847
241924836	241924887
623902533	413975951
2426907447	4876395436
5619998608	645305223
1188750662	1617654021
751538956	1802576227
456267494	456268804
1492145715	6978631644
1854236814	1070989668
513530335	4043484686
220403551	3596562757
212641540	2339120977
1188750523	825443116
3574683938	212656908
1727825696	1727825727
176188572	176188571
3204563990	416574218
412742416	412742418
412742423	4264067879
4161689717	795512248
623458728	471280782
1709442571	3289778033
220435739	4196790997
2430081153	471790770
2495749625	911755712
650015865	3133777659
593074230	610510920
175232428	1871115881
175394259	175394260
241925125	951482824
417803533	490518752
645014704	633565264
931334324	610510915
2392412595	220402791
459146413	220403590
625201698	625195032
413977962	619710717
3685366385	3708911684
613597901	176188555
220403552	3881655061
1727825727	220435689
456717152	3415894808
319895232	946589304
4937881712	1615251772
1342933734	1332437460
1631122881	241865000
1740741119	176267575
319895219	4412982686
459144874	3587883650
220403587	459147631
220403497	2895407597
3278189901	3278189900
241925114	3639209533
5123529313	2426904496
490520519	416918616
3633972761	3633972762
1780158098	1780158089
241924887	878558342
938004237	4908910607
175394236	195063011
2895407600	220403483
2339120977	742221443
412742414	412742415
1780158054	3289778040
2317173570	919334009
3881599094	1612012117
176299760	7040304777
5556229489	2096688416
1492145710	417796274
4780933800	3236233280
807556834	724896212
654004570	2426904517
2192770133	1406256159
417796256	417796254
2317173574	1426481393
412742415	412742416
5382904504	360178196
2428205801	2426904487
681168116	895841239
7161678348	825443119
768973640	192073549
3356493310	3356493309
3806394810	416918626
2320008594	2320008602
654004571	2426904510
1794906298	1805155722
793883687	993583505
417795367	417795369
795512144	795512124
1607970313	1607970365
280313330	1795820274
5363628611	220403547
1242108477	901158437
868714275	241927064
1332437460	1332437462
497504772	521678895
866626851	175040705
175031592	175031591
3514082273	639030525
5594612069	416794940
2096688391	2442167543
220423974	220423975
450517317	421246085
1025562844	1025562827
708946145	176299760
175031591	175031590
220403642	3881674761
1805156084	1727825696
2016093059	2016093064
634092441	220435725
5252886463	882620460
625195027	623034819
319895041	2638703721
1490310154	623044346
750352630	2270104929
882620496	2979278610
1713160306	4115616756
241928091	241928090
2473142870	3881599094
417795356	417795357
412742372	412742373
241924891	3289778034
1402573203	471791463
459485884	2639651868
1739259814	220403616
1323636075	1323636035
703084591	476284129
1487547356	176169928
1255691113	1860714769
911708888	911708873
606205077	606205076
634092452	220435676
6735433417	6734523522
623462119	1535226494
3005734096	631486356
225658109	1991814307
225604290	750390001
4876395434	4876395433
241865139	4225721971
4032292142	987443774
4876395433	2427845826
5556229833	3733994274
1404219803	3535542450
469842340	751539122
220469230	3607111096
2638703721	413977962
412742382	1621829211
1780448230	3881651704
2101948706	3822446159
241938850	1633805519
220469213	497504772
7040304777	1703025395
825443119	179399603
5839832871	462380558
1601981055	894540381
426535947	778722044
175054406	847530101
3640773645	5620088850
708415117	5723892317
412050500	412050499
176188561	3224872791
6736437446	760261946
1805847102	176299756
490520637	2283319420
419751365	5505389663
1446825391	866626851
412050736	849602499
220403546	3881652790
241928719	241942176
531236275	1186820938
2426855477	2426784007
176299761	751539172
3639209533	241925115
1051012384	176195127
416574217	3206356340
702107791	1764038954
220435758	220435756
802037629	176530988
601624524	1336838046
2915842666	459145917
319895271	319895272
175058339	220533627
3907213066	175232419
2912445252	319524896
415369699	538837615
456717100	220403535
600747401	540711752
176530993	4347134488
319525892	605430358
4876395436	4876395435
1614366969	1297217896
6128041955	5636956145
1008219966	4538141798
1474079205	2283239728
3607111095	220469233
2895407596	220403501
1008892527	3574777411
1353637294	7323072915
412742401	5621744590
1486105954	1486105857
1471889825	4032332837
241924894	1780158054
850625990	931334312
417795351	1805155697
2194133882	1335361719
416918616	416918629
929938459	613597901
4292112533	220435747
220403483	2647811754
1025563081	1025563390
6118934542	6731904265
635759375	220403589
1597640090	1325286771
3054968746	195060476
3881764768	3881764769
4876395435	4876395434
866626598	225658109
413975944	413975946
1727826029	6511320251
1558885037	2999211868
623912281	974609902
412413111	1005027649
176169927	1487547356
220435730	1186820862
2469929626	2096688405
3866834759	961750677
4035906190	1740741119
220403484	1612020624
412742429	412742430
2993912382	410208509
1958294903	2048012513
319895223	319895224
864514765	192078101
280313328	280313329
1727565042	1727565056
5338881226	241924891
3607111096	3607111095
175054408	807556849
410057025	2884663915
176171245	1569493962
1727491348	784351340
438355997	175232403
4374637281	825490062
2314631338	225604300
901158437	176188564
1332437451	1342933734
2469929178	2096688411
175394243	503196300
417795378	1794906297
1727825691	220435695
623849418	319895219
412096536	858018872
495576579	3289778023
179399603	7161678347
220403495	220403491
1612012116	220403511
176299757	1703025303
611055463	220470133
2271565779	192116649
727665447	521687942
3639645613	6473471204
929836273	968518466
420036136	420036135
793883470	1353637294
488088176	3076192916
220403676	220403672
807556849	2351239237
1834514137	175031595
2080783251	2301571132
1278990843	807615550
1867138987	220435710
4235650877	4235650878
459144871	5636955405
1195280674	175048158
3578912065	3578912070
1703025303	176299759
934706587	241925131
241942176	241938849
176277599	703571069
5646928766	175119648
176188560	2993912382
625127229	7137544073
220403489	2895407598
1186820938	220435732
740705369	1030347394
1780158102	882557152
241928678	3356493317
623044345	1490310154
931540577	568020067
1446825390	410060112
230853783	1210715113
490518211	6735433417
412742398	412742399
412496968	802037703
5636955396	635759362
3567689901	893023274
2096688413	5556229489
220403658	4814847946
2194134131	2194134205
1621829211	412742383
803414525	220464469
4355071870	175075315
694066120	658993526
220403667	220403663
961750677	727665447
1367658058	241865001
1025563464	435406455
1709442557	878558366
5719747754	5719576079
426535942	426535939
220435750	2392412546
220402783	2392412599
241928092	241928091
535407070	726422758
1713160304	413472742
2426907451	2426907450
192078101	864514714
195060476	1090645905
3207250367	3137267940
726422744	319525892
192144069	1336820506
600757446	175232408
4347321633	176169927
412742419	412742420
412742426	412742427
3415894805	3415894806
4422004676	4158902073
5097589722	469842340
694119864	1739276961
1186820865	1867138987
1090582155	417795372
527766742	192136672
4323708845	3547038518
3881667298	459145917
220403519	220403517
176188558	3224872787
417796252	625195004
3194360831	922829904
911755712	5530032113
241928083	5737376271
1739276961	1341958280
623044349	1486105954
3639209532	241925114
503093048	502835702
3236233273	6735433448
360179251	645034729
175232414	625127229
417795353	417795354
708414897	807556834
5594612068	416794936
1336820480	1336820484
1050979672	1051012384
1367658077	1367658074
1643995389	410198761
2469929177	5556229690
241864770	241864994
635759364	2915842666
412742440	1964120525
319529732	1344709975
622877462	4235650877
3881398360	552091852
2426904482	2426907451
568020068	931540577
319524896	681168116
1780158101	241924892
724896213	1615248066
413472740	1713160304
2126776924	176188847
241928425	241928496
5725243887	360179251
1335361719	2194134131
471790767	2430052438
3204563988	3204563989
220435707	319894960
895841075	3785630552
1823321903	241938598
3951283096	417796280
5500361581	1402573203
5621744590	412742403
634092280	2429184832
192078098	3954694782
5620088850	241927060
212641546	212641545
1511400455	175394243
2647811756	5839832871
175071713	175075311
212641545	1990653939
220403607	2876658276
3133777659	1471889813
2430052438	2425737735
534534551	319895271
3356493307	420036131
360181861	2058071293
4246484030	2469929179
2469929174	2469929175
241927058	3472688549
7137544073	175232413
412742430	412742431
1566855140	1471889859
3546482570	841989530
413451788	474427712
760178712	410402587
175232419	175232417
768973660	3630743527
176169928	1660291045
3733994274	2469929626
3415894806	220403543
6010618466	1344686793
6010618445	1108653903
175031587	453226366
1387234856	2908690120
423800427	3289778011
760261946	6736457109
839926893	5573159159
417795352	3894178651
5139822667	1801577506
960223144	923871210
1566855143	241864996
420036133	3356493307
1108653903	3514100851
2873947959	5594612070
176188547	5382904504
623044334	551379964
2604140549	1185494724
1615227523	2307214095
992383544	1103223069
4080093434	1367658080
923871210	2320008594
220403517	3881599095
220403584	220403583
3356493295	3356493294
1617470225	212641552
866626944	1615227523
212609464	3939255339
220403557	220403555
684014896	319524908
220435754	220435752
175031594	175031592
181291411	181291410
417796262	1492145704
417795371	3894178654
220403530	220403527
761892229	414443282
490519350	419751364
958472806	769697815
